,grid_capacity,load_shift_fraction,PUE,WUE — IT cooling (kL/MWh),WUE — CCGT water (kL/MWh),WUE — total (kL/MWh),CUE (tCO₂/MWh_it),REF — renewable fraction,IT energy (MWh/yr),Facility energy (MWh/yr),Water — total (kL/yr),Water — IT cooling (kL/yr),Water — CCGT (kL/yr),Scope 1 CO₂ (t/yr),Renewable energy (MWh/yr),Grid import (MWh/yr),CCGT generation (MWh/yr),Solar PPA (MWh/yr),Wind PPA (MWh/yr),Rooftop solar (MWh/yr),Battery net dispatch (MWh/yr),Grid connection (MW),CCGT capacity (MW),Solar PPA capacity (MW),Wind PPA capacity (MW),Battery capacity (MWh),Load shifting enabled,Shift store capacity (MWh),Demand deferred (MWh/yr),Demand advanced (MWh/yr),Shift utilisation,Peak facility draw (MW)
0,0.0,0.0,1.34,0.012000000000000002,1.8392156862745104,1.8512156862745104,0.03760904139433551,0.0,655200.0,877968.0000000001,1212916.5176470592,7862.4000000000015,1205054.1176470593,24641.44392156863,0.0,0.0,877968.0,0.0,0.0,0.0,0.0,0.0,197.05882352941177,0.0,0.0,0.0,False,,0.0,0.0,0.0,100.50000000000001
1,0.0,0.001,1.34,0.012000000000000002,1.8392156862745104,1.8512156862745104,0.03760904139433552,0.0,655200.0,877968.0000000001,1212916.5176470592,7862.4000000000015,1205054.1176470593,24641.443921568633,0.0,0.0,877968.0000000001,0.0,0.0,0.0,0.0,0.0,197.0588235294118,0.0,0.0,0.0,True,0.6,2.838296264684459e-11,2.8385883921178134e-11,1.0830442339747926e-14,100.50000000000001
2,0.0,0.01,1.34,0.012000000000000002,1.8392156862745104,1.8512156862745104,0.03760904139433552,0.0,655200.0,877968.0000000001,1212916.5176470592,7862.4000000000015,1205054.1176470593,24641.443921568633,0.0,0.0,877968.0000000001,0.0,0.0,0.0,0.0,0.0,197.0588235294118,0.0,0.0,0.0,True,6.0,2.838296264684459e-11,2.8385883921178134e-11,1.0830442339747926e-15,100.50000000000001
3,0.0,0.1,1.34,0.012000000000000002,1.8392156862745104,1.8512156862745104,0.03760904139433552,0.0,655200.0,877968.0000000001,1212916.5176470592,7862.4000000000015,1205054.1176470593,24641.443921568633,0.0,0.0,877968.0000000001,0.0,0.0,0.0,0.0,0.0,197.0588235294118,0.0,0.0,0.0,True,60.0,2.838296264684459e-11,2.8385883921178134e-11,1.0830442339747925e-16,100.50000000000001
4,100.0,0.0,1.34,0.012000000000000002,1.8392156862745104,1.8512156862745104,0.03760904139433551,0.0,655200.0,877968.0000000001,1212916.5176470592,7862.4000000000015,1205054.1176470593,24641.44392156863,0.0,0.0,877968.0,0.0,0.0,0.0,0.0,100.0,197.05882352941177,0.0,0.0,0.0,False,,0.0,0.0,0.0,100.50000000000001
5,100.0,0.001,1.34,0.011999999999999999,1.8380838612368027,1.8500838612368025,0.03758589736886208,0.000631163708086785,655200.0,877968.0,1212174.945882353,7862.399999999999,1204312.545882353,24626.279956078433,554.1415384615384,540.288,877427.712,551.8825919223966,2.2589465391418435,0.0,0.0,100.0,196.93755656108598,184.11667962970694,0.012945296461779996,0.0,True,0.6,336.6258999141897,336.5797460680359,0.12843514308268958,101.304
6,100.0,0.01,1.3400000000000003,0.011999999999999999,1.8278974358974358,1.8398974358974356,0.037377601139601146,0.006311637080867852,655200.0,877968.0,1205500.7999999998,7862.399999999999,1197638.4,24489.80426666667,5541.415384615386,5402.88,872565.1200000001,5518.8259192239675,22.589465391418447,0.0,0.0,100.0,195.84615384615387,1841.1667962970696,0.1294529646177998,0.0,True,6.0,3299.263194554209,3298.80165609267,0.12587883185757934,108.54
7,100.0,0.1,1.3400000000000005,0.012000000000000004,1.7260331825037711,1.738033182503771,0.0352946388469918,0.0631163708086785,655199.9999999999,877968.0000000001,1138759.3411764705,7862.4000000000015,1130896.9411764706,23125.047372549023,55414.15384615385,54028.8,823939.2000000001,55188.25919223967,225.89465391418443,0.0,0.0,100.0,184.9321266968326,18411.667962970696,1.294529646177998,0.0,True,60.0,32148.468166600018,32143.85278198463,0.12265781621753787,150.0
8,150.0,0.0,1.34,0.012000000000000002,1.8392156862745104,1.8512156862745104,0.03760904139433551,0.0,655200.0,877968.0000000001,1212916.5176470592,7862.4000000000015,1205054.1176470593,24641.44392156863,0.0,0.0,877968.0,0.0,0.0,0.0,0.0,150.0,197.05882352941177,0.0,0.0,0.0,False,,0.0,0.0,0.0,100.50000000000001
9,150.0,0.001,1.34,0.012,1.8380838612368027,1.8500838612368025,0.03758589736886208,0.0006311637080867849,655200.0,877968.0000000001,1212174.945882353,7862.4,1204312.545882353,24626.279956078433,554.1415384615384,540.288,877427.712,551.8825919223966,2.258946539141844,0.0,0.0,150.0,196.93755656108598,184.11667962970694,0.012945296461779996,0.0,True,0.6,330.2769230769231,330.23076923076917,0.1260126091856861,101.304
10,150.0,0.01,1.3400000000000003,0.012,1.8278974358974358,1.8398974358974356,0.037377601139601146,0.006311637080867852,655200.0,877968.0,1205500.7999999998,7862.4,1197638.4,24489.80426666667,5541.415384615386,5402.880000000001,872565.1200000001,5518.8259192239675,22.589465391418447,0.0,0.0,150.0,195.84615384615387,1841.1667962970696,0.1294529646177998,0.0,True,6.0,3304.6153846153848,3304.1538461538466,0.1260830515638208,108.54
11,150.0,0.1,1.3400000000000005,0.012000000000000004,1.7260331825037711,1.738033182503771,0.0352946388469918,0.0631163708086785,655199.9999999999,877968.0000000001,1138759.3411764705,7862.4000000000015,1130896.9411764706,23125.047372549023,55414.15384615385,54028.8,823939.2000000001,55188.25919223967,225.89465391418443,0.0,0.0,150.0,184.9321266968326,18411.667962970696,1.294529646177998,0.0,True,60.0,31778.83449276589,31774.219108150504,0.12124743132042963,150.0
